time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-18 00:00:00+00:00,12,10,1.0,1.0
2024-10-19 00:00:00+00:00,20,16,,
2024-10-20 00:00:00+00:00,17,11,,
2024-10-21 00:00:00+00:00,19,13,,
2024-10-22 00:00:00+00:00,20,14,,
2024-10-23 00:00:00+00:00,23,17,1.0,1.0
2024-10-24 00:00:00+00:00,19,14,,
2024-10-25 00:00:00+00:00,21,15,,
2024-10-26 00:00:00+00:00,15,11,,
2024-10-27 00:00:00+00:00,13,8,3.0,1.0
2024-10-28 00:00:00+00:00,11,6,2.0,1.0
2024-10-29 00:00:00+00:00,11,8,,
2024-10-30 00:00:00+00:00,17,13,,
2024-10-31 00:00:00+00:00,20,15,1.0,1.0
