time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-16 00:00:00+00:00,1,1,9,2
2024-10-17 00:00:00+00:00,16,9,6,1
2024-10-18 00:00:00+00:00,679,25,497,3
