time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-07 00:00:00+00:00,141,24,3.0,2.0
2024-10-08 00:00:00+00:00,118,16,,
2024-10-09 00:00:00+00:00,95,9,,
2024-10-10 00:00:00+00:00,101,14,,
2024-10-11 00:00:00+00:00,126,18,,
2024-10-12 00:00:00+00:00,171,24,,
2024-10-13 00:00:00+00:00,84,14,,
2024-10-14 00:00:00+00:00,100,13,2.0,1.0
2024-10-15 00:00:00+00:00,269,35,159.0,1.0
2024-10-16 00:00:00+00:00,184,22,,
2024-10-17 00:00:00+00:00,250,31,,
2024-10-18 00:00:00+00:00,177,23,14.0,1.0
2024-10-19 00:00:00+00:00,168,19,,
2024-10-20 00:00:00+00:00,89,3,,
