url_path,views_total,views_unique
/khulnasoft-lab/malicious-packages/actions,23,2
/khulnasoft-lab/malicious-packages/actions/workflows/dep-auto-merge.yml,13,1
/khulnasoft-lab/malicious-packages,12,4
/khulnasoft-lab/malicious-packages/pulls,11,2
/khulnasoft-lab/malicious-packages/blob/main/.github/workflows/dep-auto-merge.yml,6,1
/khulnasoft-lab/malicious-packages/actions/workflows/codeql-analysis.yml,4,1
/khulnasoft-lab/malicious-packages/blob/main/.github/workflows/assign-osv-ids.yml,3,1
/khulnasoft-lab/malicious-packages/edit/main/.github/workflows/dep-auto-merge.yml,3,1
/khulnasoft-lab/malicious-packages/pull/489,3,1
/khulnasoft-lab/malicious-packages/tree/main/.github/workflows,3,1
