url_path,views_total,views_unique
/khulnasoft-lab/malicious-packages/actions,11,2
/khulnasoft-lab/malicious-packages,10,5
/khulnasoft-lab/malicious-packages/pulls,8,2
/khulnasoft-lab/malicious-packages/issues/22,5,1
/khulnasoft-lab/malicious-packages/actions/workflows/ingest-ghsa.yml,4,3
/khulnasoft-lab/malicious-packages/blob/main/.github/workflows/dep-auto-merge.yml,3,2
/khulnasoft-lab/malicious-packages/tree/main/.github,3,2
/khulnasoft-lab/malicious-packages/tree/main/.github/workflows,3,2
/khulnasoft-lab/malicious-packages/issues/412,3,1
/khulnasoft-lab/malicious-packages/issues,2,2
